author	title	author_born	author_died	origin	genre	subject_era	exam_status	memorize	grade	source	doc_year	retrieved	note
Народна творчість (Folk Literature)	Українські народні балади («Ой летіла стріла», «Ой на горі вогонь горить») (Ukrainian Folk Ballads: "Oh a Shot Flew", "Oh Fire Burns on the Mountain")	traditional	traditional	domestic	poem-cycle	Cossack-era	mandatory	no	9	https://osvita.ua/doc/files/news/896/89669/Ukrayinska_literatura_7-9-kl_Yatsenko_ta.pdf	2023	2026-08-10	Prescribed in Ukrainian Literature Grade 9
Невідомий автор (Unknown Author)	«Слово про похід Ігорів» (The Tale of Igor's Campaign)	12th c.	12th c.	domestic	epic	Kyivan-Rus	mandatory	no	9	https://osvita.ua/doc/files/news/896/89669/Ukrayinska_literatura_7-9-kl_Yatsenko_ta.pdf	2023	2026-08-10	No work-specific memorization mandate in the defining Grade 9 program
Літописний переказ (Chronicle Narrative)	«Повість минулих літ» (уривки про заснування Києва, про помсту княгині Ольги) (Primary Chronicle: Excerpts on the Founding of Kyiv and Princess Olga's Revenge)	12th c.	12th c.	domestic	essay	Kyivan-Rus	mandatory	no	9	https://osvita.ua/doc/files/news/9/946/Ukrmova.pdf	2024	2026-08-10	Prescribed old Ukrainian literature text
Григорій Сковорода (Hryhoriy Skovoroda)	«De libertate», «Всякому місту — звичай і права…», «Бджола та Шершень» (De Libertate; Every City Has Its Custom and Laws; The Bee and the Hornet)	1722	1794	domestic	poem-cycle	Cossack-era/none	mandatory	no	9	https://osvita.ua/doc/files/news/896/89669/Ukrayinska_literatura_7-9-kl_Yatsenko_ta.pdf	2023	2026-08-10	No work-specific memorization mandate; poetry memorization is recommendatory
Іван Котляревський (Ivan Kotlyarevsky)	«Енеїда», «Наталка Полтавка» (Eneida; Natalka Poltavka)	1769	1838	domestic	epic	Cossack-era/early-19th-c	mandatory	no	9	https://osvita.ua/doc/files/news/896/89669/Ukrayinska_literatura_7-9-kl_Yatsenko_ta.pdf	2023	2026-08-10	Foundational modern Ukrainian literary works
Тарас Шевченко (Taras Shevchenko)	«Катерина», «Кавказ», «Сон» («У всякого своя доля…»), «І мертвим, і живим, і ненарожденним…», «Заповіт» (Kateryna; The Caucasus; The Dream; To the Dead, the Living, and the Unborn; Testament)	1814	1861	domestic	poem-cycle	19th-c-Russian-imperial-rule/serfdom/Caucasus-War	mandatory	no	9	https://osvita.ua/doc/files/news/896/89669/Ukrayinska_literatura_7-9-kl_Yatsenko_ta.pdf	2023	2026-08-10	No named poem is mandated for memorization; learner choice is permitted
Пантелеймон Куліш (Panteleimon Kulish)	«Чорна рада» (The Black Council)	1819	1897	domestic	novel	Cossack-era	mandatory	no	9	https://osvita.ua/doc/files/news/896/89669/Ukrayinska_literatura_7-9-kl_Yatsenko_ta.pdf	2023	2026-08-10	First Ukrainian historical novel
Іван Франко (Ivan Franko)	«Захар Беркут», «Чого являєшся меі у сні?..», «Мойсей» (Zakhar Berkut; Why Do You Appear to Me in My Dreams?; Moses)	1856	1916	domestic	poem-cycle	1241-Mongol-invasion/none-romance/biblical-antiquity	mandatory	no	9	https://osvita.ua/doc/files/news/896/89669/Ukrayinska_literatura_7-9-kl_Yatsenko_ta.pdf	2023	2026-08-10	No work-specific memorization mandate; poetry memorization is recommendatory
Михайло Коцюбинський (Mykhailo Kotsiubynsky)	«Тіні забутих предків», «Intermezzo» (Shadows of Forgotten Ancestors; Intermezzo)	1864	1913	domestic	novella	turn-of-20th-c-Hutsul-life/1905-revolution-aftermath	mandatory	no	9	https://osvita.ua/doc/files/news/896/89669/Ukrayinska_literatura_7-9-kl_Yatsenko_ta.pdf	2023	2026-08-10	Hutsul life and modernist impressionism
Ольга Кобилянська (Olha Kobylianska)	«Людина», «Valse mélancolique» (A Human; Valse Mélancolique)	1863	1942	domestic	novella	none/romance?	mandatory	no	9	https://osvita.ua/doc/files/news/896/89669/Ukrayinska_literatura_7-9-kl_Yatsenko_ta.pdf	2023	2026-08-10	Feminist literature and Bukovinian modernist prose
